graph6 string,levelable,minimized solution
H?BFEfJ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
H?BFEf{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEfy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFEfm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEf],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEe},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEfj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0]"
H?BFEez,F,NA
H?BFEfN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEen,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEc~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEf},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEfz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEfn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEe~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 5.0]"
H?BFEf~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 6.0]"
H?BFFrw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
H?BFFrs,F,NA
H?BFFr[,F,NA
H?BFFrY,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0]"
H?BFFre,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFrU,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFq],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFr{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFry,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFFru,F,NA
H?BFFr],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0]"
H?BFFq},T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H?BFFrx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFrt,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFr\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFrZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFrf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFrV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFq^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFr},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFr|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFrz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFrv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFr^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFq~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0]"
H?BFFjk,F,NA
H?BFFj[,F,NA
H?BFFjY,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFjM,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0]"
H?BFFi],T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0]"
H?BFFj{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFFjy,F,NA
H?BFFjm,F,NA
H?BFFj],T,"[2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0]"
H?BFFi},F,NA
H?BFFjl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFj\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFjZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFjN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFi^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFj},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFj|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFjz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFjn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFj^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFi~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFj~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFEz[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFEz{,F,NA
H?BFEzy,F,NA
H?BFEzu,F,NA
H?BFEz],F,NA
H?BFEy},F,NA
H?BFEz\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFEz},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0]"
H?BFEz|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFEzz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFEzv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFEz^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFEy~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFEz~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 6.0]"
H?BFDzw,T,"[2.0, 4.0, 2.0, 2.0, 2.0, 5.0, 2.0, 5.0, 3.0]"
H?BFDzs,F,NA
H?BFDz[,F,NA
H?BFDy{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0]"
H?BFDx{,F,NA
H?BFDzq,F,NA
H?BFDzY,T,"[2.0, 3.0, 3.0, 2.0, 2.0, 4.0, 3.0, 6.0, 3.0]"
H?BFDze,F,NA
H?BFDzU,F,NA
H?BFDy],T,"[2.0, 2.0, 5.0, 2.0, 2.0, 3.0, 5.0, 5.0, 4.0]"
H?BFDx],F,NA
H?BFDz{,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 5.0, 2.0]"
H?BFDzy,F,NA
H?BFDzu,F,NA
H?BFDz],F,NA
H?BFDy},T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0, 2.0]"
H?BFDx},F,NA
H?BFDzx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 3.0]"
H?BFDzt,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDz\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDy|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDx|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDzr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 3.0]"
H?BFDzZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 3.0]"
H?BFDzf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDzV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDy^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDx^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDz},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0]"
H?BFDz|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDzz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 4.0]"
H?BFDzv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDz^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDy~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDx~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFDz~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 6.0]"
H?BFFfw,F,NA
H?BFFfk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFf[,F,NA
H?BFFf{,F,NA
H?BFFfy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFFfm,F,NA
H?BFFf],F,NA
H?BFFe},T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H?BFFfx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFfl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFf\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFfj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFfZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFFfN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFe^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFf},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFf|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFfz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFFfn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFf^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFe~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFFf~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0]"
H?BFEv[,F,NA
H?BFEv{,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0]"
H?BFEvy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFEvu,F,NA
H?BFEv],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEu},T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 5.0]"
H?BFEv\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEvZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]"
H?BFEvV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEv},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEv|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEvz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
H?BFEvv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEv^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEu~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 5.0]"
H?BFEv~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0]"
H?BFDvw,F,NA
H?BFDvs,F,NA
H?BFDv[,F,NA
H?BFDu{,F,NA
H?BFDt{,F,NA
H?BFDv{,F,NA
H?BFDvy,F,NA
H?BFDvu,F,NA
H?BFDv],F,NA
H?BFDu},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDt},F,NA
H?BFDvx,F,NA
H?BFDvt,F,NA
H?BFDv\,F,NA
H?BFDu|,F,NA
H?BFDt|,F,NA
H?BFDvr,F,NA
H?BFDvZ,F,NA
H?BFDuz,F,NA
H?BFDtz,F,NA
H?BFDvf,F,NA
H?BFDvV,F,NA
H?BFDuv,F,NA
H?BFDtv,F,NA
H?BFDu^,F,NA
H?BFDt^,F,NA
H?BFDv},F,NA
H?BFDv|,F,NA
H?BFDvz,F,NA
H?BFDvv,F,NA
H?BFDv^,F,NA
H?BFDu~,F,NA
H?BFDt~,F,NA
H?BFDv~,F,NA
H?BFFN[,F,NA
H?BFFN{,F,NA
H?BFFNy,F,NA
H?BFFN],F,NA
H?BFFM},F,NA
H?BFFN\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFNZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFM^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFN},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFN|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFNz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFN^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFM~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFN~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFEn[,F,NA
H?BFEn{,T,"[2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0]"
H?BFEny,F,NA
H?BFEnm,F,NA
H?BFEn],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFEm},F,NA
H?BFEn\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEnN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEn},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFEn|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEnz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFEnn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEn^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEm~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFEn~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFDnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDnk,F,NA
H?BFDn[,F,NA
H?BFDm{,F,NA
H?BFDl{,F,NA
H?BFDn{,F,NA
H?BFDny,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 4.0]"
H?BFDnm,F,NA
H?BFDn],F,NA
H?BFDm},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFDl},F,NA
H?BFDnx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDnl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDn\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDm|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDl|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDnj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDnZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDnN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDmn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDln,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDm^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDl^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDn},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFDn|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDnz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFDnn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDn^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDm~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDl~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFDn~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFC~[,F,NA
H?BFC~{,T,"[2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0]"
H?BFC~y,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 4.0]"
H?BFC~u,F,NA
H?BFC~],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFC}},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFC|},F,NA
H?BFC~\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC~Z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFC~V,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFC}^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFC|^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFC~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFC~|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC~z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFC~v,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC~^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC}~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC|~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFC~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BF@~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BF@~s,F,NA
H?BF@~[,F,NA
H?BF@}{,F,NA
H?BF@~{,F,NA
H?BF@~y,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 4.0]"
H?BF@~u,F,NA
H?BF@~],F,NA
H?BF@}},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BF@~x,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BF@~t,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@~\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@}|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@~r,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BF@~Z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BF@}z,F,NA
H?BF@~f,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@~V,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@}v,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@}^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@{~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BF@~|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@~z,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BF@~v,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@~^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@}~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BF@~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFFz{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0]"
H?BFFz],T,"[2.0, 2.0, 5.0, 2.0, 2.0, 3.0, 5.0, 5.0, 5.0]"
H?BFFz},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0]"
H?BFFz|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFFz^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFFz~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 6.0]"
H?BFFv{,F,NA
H?BFFvy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0]"
H?BFFvu,F,NA
H?BFFv],F,NA
H?BFFv},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 3.0]"
H?BFFv|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFvz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 4.0]"
H?BFFvv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFv^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 5.0]"
H?BFFv~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0]"
H?BFFn{,F,NA
H?BFFnm,F,NA
H?BFFn],F,NA
H?BFFn},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0]"
H?BFFn|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFFnn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFFn^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 5.0]"
H?BFFn~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0, 6.0]"
